generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1782494629-7JQJJGjkafIbunbnGyyV,2026-06-26 17:23:48.836,0.000242,,,,0,1297,242,0,0,google/gemma-4-31b-it-20260402,Venice,standard,false,true,,stop,stop,4852,770,,menara-sunnah
gen-1782494626-uPQvHFDTEtVAXiEG1Z1Q,2026-06-26 17:23:45.942,0.001328,,,,0,1798,143,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,2328,1156,,menara-sunnah
gen-1782494622-H3J6YW2nmnd9moYMG6Nv,2026-06-26 17:23:42.121,0.001347,,,,0,1812,147,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,3273,2549,,menara-sunnah
gen-1782494615-JNDmPG5CL4MPszSMg9eh,2026-06-26 17:23:35.488,0.001598,,,,0,1810,231,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,6092,4153,,menara-sunnah
gen-1782494612-okxjmF73vMYyKdfSO9ho,2026-06-26 17:23:32.698,0.00137,,,,0,1811,155,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,2247,1493,,menara-sunnah
gen-1782494610-GeasEWoUppddv4wnykMV,2026-06-26 17:23:30.169,0.000302,,-0.000389,,0,1235,113,0,1216,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,2127,485,finance-parse-eval,menara-sunnah
gen-1782494607-g80Tj4tkGTS2ws3KdpkA,2026-06-26 17:23:27.027,0.000299,,-0.000389,,0,1249,108,0,1216,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,2737,817,finance-parse-eval,menara-sunnah
gen-1782494601-mFcc7QKlB91TmYE95B7P,2026-06-26 17:23:21.676,0.000424,,-0.000389,,0,1237,182,0,1216,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,4546,431,finance-parse-eval,menara-sunnah
gen-1782494595-axnOc8NljLWtMkjsIXvJ,2026-06-26 17:23:14.773,0.000519,,-0.000348,,0,1245,211,0,1088,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,6576,410,finance-parse-eval,menara-sunnah
gen-1782494590-gmMUi8BV0VsuEM9JEVjA,2026-06-26 17:23:10.473,0.000597,,-0.000626,,0,1299,202,0,1278,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,3928,2062,finance-parse-eval,menara-sunnah
